"actor","tconst","primaryTitle","startYear","decade","genres","averageRating"
"Yukio Miyazaki","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Kôsuke Yamamoto","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Tadayuki Hatake","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Akira Emoto","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Ryô Okazaki","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Kôta Kumai","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Kôji Kimura","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Akio Okabe","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Masahiro Miyano","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Kenji Shirakami","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Masanori Sera","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Kenjirô Kuroki","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Yosuke Yamashita","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Kumiko Asô","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hiromi Tokunaga","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hisanori Komatsubara","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Masa Yamada","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Tsutomu Honjô","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Toshiyuki Ishida","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Akihiro Sanada","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Haruko Kubo","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hidetoshi Kobayashi","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hirokazu Miyata","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Kôsei Takahashi","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Michi Yûki","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hisashi Hanabusa","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hiromasa Nagano","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Akiyo Sogabe","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Yoshitaka Azuki","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Miwako Andô","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Yasumasa Tôno","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Yoshiaki Arashima","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Naomi Shigemoto","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Naoki Jô","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Robert Hugh Harper","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hiromi Imano","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hideki Hayashi","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Kiyoe Kawahara","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Teruo Seki","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Seiki Iizumi","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Shigeru Kamiyama","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Hiroki Kishihata","tt0155796","Dr. Akagi",1998,"1990s","Comedy,Drama,History",7.2
"Fumiko Osaka","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Yu-han Lin","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Yu-Hang Lee","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Jacques Picoux","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Josephine A. Blankstein","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Tony Chang","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Tsai-erh Luo","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Vicky Wei","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Wei-kuo Chiang","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Hsuan Fang","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Shu-Chen Liao","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Simon Chang","tt0156587","Flowers of Shanghai",1998,"1990s","Drama",7.3
"Ghorban Ali Naderi","tt0156901","The Apple",1998,"1990s","Drama",7.2
"Zahra Naderi","tt0156901","The Apple",1998,"1990s","Drama",7.2
"Massoumeh Naderi","tt0156901","The Apple",1998,"1990s","Drama",7.2
"Azizeh Mohamadi","tt0156901","The Apple",1998,"1990s","Drama",7.2
