"actor","tconst","primaryTitle","startYear","decade","genres","averageRating"
"Tom Urquhart","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Lise Roestad","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"John Killoran","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Lorraine McIntosh","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Lewis Howden","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Max Moland","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Charles Duffy","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Tetsuya Iwanaga","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Amy Seeley","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Kurt Stoll","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Thomas Greene","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Riley Barber","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Tristan MacAvery","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Allison Keith-Shipp","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Ryan Paregien","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Aaron Krohn","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Keith Burgess","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Stephanie McKeon","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Traci Shannon","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Sue Ulu","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Michael Ross","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Yôko Takahashi","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Brett Weaver","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Megumi Ogata","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Jason Lee","tt0169880","Neon Genesis Evangelion: Death & Rebirth",1997,"1990s","Action,Animation,Drama",7.2
"Kei Nakamura","tt0171357","Barefoot Gen 2",1986,"1980s","Animation,Biography,Drama",7.1
"Kôji Takagi","tt0171357","Barefoot Gen 2",1986,"1980s","Animation,Biography,Drama",7.1
"Masato Yamamoto","tt0171357","Barefoot Gen 2",1986,"1980s","Animation,Biography,Drama",7.1
"Masaki Kôda","tt0171357","Barefoot Gen 2",1986,"1980s","Animation,Biography,Drama",7.1
"Takami Aoyama","tt0171357","Barefoot Gen 2",1986,"1980s","Animation,Biography,Drama",7.1
"Shelly Poole","tt0171865","Wonderland",1999,"1990s","Drama",7.1
"Nuno Vaz","tt0171865","Wonderland",1999,"1990s","Drama",7.1
